Instrument;Action;Quantity;Price;Time;ID;E/X;Position;Order ID;Name;Commission;Rate;Account;Connection;
MNQ DEC25;Buy;1;25216,50;12/12/2025 16:26:31;334740359438;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Buy;1;25211,25;12/12/2025 16:27:06;334740359481;Entry;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Sell;1;25212,75;12/12/2025 16:28:06;334740359502;Exit;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;3;25208,25;12/12/2025 16:28:36;334740359513;Entry;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;3;25203,00;12/12/2025 16:30:56;334740359530;Exit;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;3;25171,75;12/12/2025 16:32:25;334740359541;Entry;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;3;25166,50;12/12/2025 16:36:29;334740359566;Exit;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;3;25157,50;12/12/2025 16:38:42;334740359577;Entry;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;3;25214,75;12/12/2025 16:49:24;334740359602;Exit;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;2;25198,75;12/12/2025 16:49:58;334740359613;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;2;25204,75;12/12/2025 16:50:17;334740359651;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;2;25208,25;12/12/2025 16:50:08;334740359629;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;2;25204,75;12/12/2025 16:50:17;334740359646;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;2;25200,25;12/12/2025 16:50:38;334740359665;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;2;25193,50;12/12/2025 16:52:39;334740359720;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;2;25192,00;12/12/2025 16:50:54;334740359685;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;2;25189,50;12/12/2025 16:51:50;334740359705;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;2;25184,50;12/12/2025 16:54:11;334740359731;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
